Subject,Feedback,Attempt
1,hint,75
1,no hint,75
2,hint,24
2,no hint,66
3,hint,59
3,no hint,63
4,hint,3
4,no hint,56
5,hint,43
5,no hint,54
6,hint,51
6,no hint,52
7,hint,34
7,no hint,48
8,hint,19
8,no hint,48
9,hint,30
9,no hint,47
10,hint,3
10,no hint,44
11,hint,37
11,no hint,43
12,hint,37
12,no hint,43
13,hint,0
13,no hint,41
14,hint,3
14,no hint,41
15,hint,41
15,no hint,41
16,hint,37
16,no hint,40
17,hint,21
17,no hint,40
18,hint,39
18,no hint,39
19,hint,11
19,no hint,39
20,hint,36
20,no hint,38
21,hint,0
21,no hint,36
22,hint,21
22,no hint,35
23,hint,33
23,no hint,35
24,hint,24
24,no hint,34
25,hint,0
25,no hint,34
26,hint,0
26,no hint,34
27,hint,2
27,no hint,34
28,hint,5
28,no hint,33
29,hint,5
29,no hint,33
30,hint,22
30,no hint,33
31,hint,21
31,no hint,32
32,hint,32
32,no hint,32
33,hint,31
33,no hint,32
34,hint,0
34,no hint,30
35,hint,28
35,no hint,30
36,hint,10
36,no hint,30
37,hint,30
37,no hint,30
38,hint,29
38,no hint,29
39,hint,23
39,no hint,29
40,hint,29
40,no hint,29
41,hint,4
41,no hint,29
42,hint,8
42,no hint,29
43,hint,6
43,no hint,28
44,hint,0
44,no hint,28
45,hint,15
45,no hint,28
46,hint,3
46,no hint,28
47,hint,23
47,no hint,27
48,hint,27
48,no hint,27
49,hint,4
49,no hint,27
50,hint,20
50,no hint,26
51,hint,26
51,no hint,26
52,hint,4
52,no hint,26
53,hint,9
53,no hint,26
54,hint,25
54,no hint,26
55,hint,13
55,no hint,26
56,hint,0
56,no hint,25
57,hint,11
57,no hint,25
58,hint,15
58,no hint,25
59,hint,1
59,no hint,24
60,hint,2
60,no hint,24
61,hint,5
61,no hint,23
62,hint,23
62,no hint,23
63,hint,23
63,no hint,23
64,hint,15
64,no hint,23
65,hint,14
65,no hint,23
66,hint,4
66,no hint,23
67,hint,0
67,no hint,23
68,hint,2
68,no hint,23
69,hint,17
69,no hint,22
70,hint,18
70,no hint,22
71,hint,0
71,no hint,22
72,hint,0
72,no hint,22
73,hint,2
73,no hint,22
74,hint,18
74,no hint,22
75,hint,19
75,no hint,21
76,hint,9
76,no hint,21
77,hint,3
77,no hint,21
78,hint,0
78,no hint,21
79,hint,1
79,no hint,21
80,hint,6
80,no hint,21
81,hint,1
81,no hint,21
82,hint,3
82,no hint,21
83,hint,10
83,no hint,21
84,hint,20
84,no hint,20
85,hint,11
85,no hint,20
86,hint,13
86,no hint,20
87,hint,11
87,no hint,20
88,hint,10
88,no hint,20
89,hint,20
89,no hint,20
90,hint,1
90,no hint,19
91,hint,2
91,no hint,19
92,hint,14
92,no hint,19
93,hint,14
93,no hint,19
94,hint,4
94,no hint,19
95,hint,2
95,no hint,19
96,hint,7
96,no hint,19
97,hint,6
97,no hint,19
98,hint,3
98,no hint,18
99,hint,2
99,no hint,18
100,hint,18
100,no hint,18
101,hint,2
101,no hint,18
102,hint,6
102,no hint,18
103,hint,4
103,no hint,18
104,hint,1
104,no hint,18
105,hint,18
105,no hint,18
106,hint,4
106,no hint,18
107,hint,6
107,no hint,18
108,hint,18
108,no hint,18
109,hint,10
109,no hint,17
110,hint,0
110,no hint,17
111,hint,7
111,no hint,17
112,hint,15
112,no hint,17
113,hint,1
113,no hint,16
114,hint,8
114,no hint,16
115,hint,6
115,no hint,16
116,hint,4
116,no hint,16
117,hint,0
117,no hint,16
118,hint,2
118,no hint,16
119,hint,7
119,no hint,15
120,hint,15
120,no hint,15
121,hint,3
121,no hint,15
122,hint,10
122,no hint,15
123,hint,4
123,no hint,15
124,hint,2
124,no hint,15
125,hint,4
125,no hint,15
126,hint,12
126,no hint,15
127,hint,1
127,no hint,14
128,hint,11
128,no hint,14
129,hint,7
129,no hint,14
130,hint,3
130,no hint,14
131,hint,12
131,no hint,14
132,hint,14
132,no hint,14
133,hint,3
133,no hint,14
134,hint,9
134,no hint,14
135,hint,1
135,no hint,14
136,hint,11
136,no hint,14
137,hint,12
137,no hint,13
138,hint,8
138,no hint,13
139,hint,3
139,no hint,13
140,hint,4
140,no hint,13
141,hint,5
141,no hint,13
142,hint,13
142,no hint,13
143,hint,1
143,no hint,13
144,hint,4
144,no hint,13
145,hint,11
145,no hint,13
146,hint,13
146,no hint,13
147,hint,12
147,no hint,13
148,hint,12
148,no hint,13
149,hint,12
149,no hint,13
150,hint,13
150,no hint,13
151,hint,12
151,no hint,12
152,hint,0
152,no hint,12
153,hint,3
153,no hint,12
154,hint,12
154,no hint,12
155,hint,1
155,no hint,12
156,hint,0
156,no hint,12
157,hint,0
157,no hint,12
158,hint,1
158,no hint,12
159,hint,10
159,no hint,12
160,hint,12
160,no hint,12
161,hint,1
161,no hint,12
162,hint,0
162,no hint,12
163,hint,10
163,no hint,12
164,hint,3
164,no hint,12
165,hint,5
165,no hint,12
166,hint,4
166,no hint,12
167,hint,11
167,no hint,11
168,hint,1
168,no hint,11
169,hint,10
169,no hint,11
170,hint,0
170,no hint,11
171,hint,11
171,no hint,11
172,hint,4
172,no hint,11
173,hint,6
173,no hint,11
174,hint,10
174,no hint,11
175,hint,3
175,no hint,11
176,hint,5
176,no hint,11
177,hint,0
177,no hint,11
178,hint,10
178,no hint,11
179,hint,5
179,no hint,11
180,hint,6
180,no hint,11
181,hint,3
181,no hint,10
182,hint,8
182,no hint,10
183,hint,0
183,no hint,10
184,hint,7
184,no hint,10
185,hint,1
185,no hint,10
186,hint,1
186,no hint,10
187,hint,5
187,no hint,10
188,hint,5
188,no hint,10
189,hint,4
189,no hint,10
190,hint,4
190,no hint,10
191,hint,4
191,no hint,10
192,hint,5
192,no hint,9
193,hint,2
193,no hint,9
194,hint,9
194,no hint,9
195,hint,1
195,no hint,9
196,hint,3
196,no hint,9
197,hint,4
197,no hint,9
198,hint,0
198,no hint,9
199,hint,4
199,no hint,9
200,hint,9
200,no hint,9
201,hint,2
201,no hint,9
202,hint,1
202,no hint,9
203,hint,7
203,no hint,9
204,hint,7
204,no hint,9
205,hint,1
205,no hint,9
206,hint,1
206,no hint,9
207,hint,6
207,no hint,9
208,hint,8
208,no hint,9
209,hint,0
209,no hint,9
210,hint,1
210,no hint,9
211,hint,2
211,no hint,8
212,hint,5
212,no hint,8
213,hint,5
213,no hint,8
214,hint,6
214,no hint,8
215,hint,0
215,no hint,8
216,hint,4
216,no hint,8
217,hint,2
217,no hint,8
218,hint,6
218,no hint,8
219,hint,3
219,no hint,8
220,hint,4
220,no hint,8
221,hint,6
221,no hint,8
222,hint,8
222,no hint,8
223,hint,2
223,no hint,8
224,hint,4
224,no hint,8
225,hint,4
225,no hint,8
226,hint,1
226,no hint,8
227,hint,5
227,no hint,8
228,hint,8
228,no hint,8
229,hint,8
229,no hint,8
230,hint,8
230,no hint,8
231,hint,7
231,no hint,8
232,hint,4
232,no hint,8
233,hint,1
233,no hint,8
234,hint,6
234,no hint,8
235,hint,7
235,no hint,8
236,hint,4
236,no hint,8
237,hint,7
237,no hint,8
238,hint,5
238,no hint,8
239,hint,8
239,no hint,8
240,hint,3
240,no hint,8
241,hint,8
241,no hint,8
242,hint,3
242,no hint,8
243,hint,4
243,no hint,7
244,hint,4
244,no hint,7
245,hint,5
245,no hint,7
246,hint,7
246,no hint,7
247,hint,3
247,no hint,7
248,hint,6
248,no hint,7
249,hint,1
249,no hint,7
250,hint,0
250,no hint,7
251,hint,0
251,no hint,7
252,hint,4
252,no hint,7
253,hint,6
253,no hint,7
254,hint,5
254,no hint,7
255,hint,6
255,no hint,7
256,hint,7
256,no hint,7
257,hint,1
257,no hint,7
258,hint,2
258,no hint,7
259,hint,1
259,no hint,7
260,hint,4
260,no hint,7
261,hint,2
261,no hint,7
262,hint,0
262,no hint,7
263,hint,5
263,no hint,7
264,hint,3
264,no hint,7
265,hint,7
265,no hint,7
266,hint,4
266,no hint,7
267,hint,7
267,no hint,7
268,hint,7
268,no hint,7
269,hint,1
269,no hint,7
270,hint,1
270,no hint,7
271,hint,2
271,no hint,7
272,hint,1
272,no hint,7
273,hint,6
273,no hint,7
274,hint,5
274,no hint,7
275,hint,7
275,no hint,7
276,hint,7
276,no hint,7
277,hint,6
277,no hint,6
278,hint,6
278,no hint,6
279,hint,1
279,no hint,6
280,hint,1
280,no hint,6
281,hint,5
281,no hint,6
282,hint,6
282,no hint,6
283,hint,5
283,no hint,6
284,hint,5
284,no hint,6
285,hint,4
285,no hint,6
286,hint,6
286,no hint,6
287,hint,0
287,no hint,6
288,hint,1
288,no hint,6
289,hint,3
289,no hint,6
290,hint,0
290,no hint,6
291,hint,4
291,no hint,6
292,hint,6
292,no hint,6
293,hint,4
293,no hint,6
294,hint,6
294,no hint,6
295,hint,1
295,no hint,6
296,hint,6
296,no hint,6
297,hint,4
297,no hint,6
298,hint,6
298,no hint,6
299,hint,6
299,no hint,6
300,hint,5
300,no hint,6
301,hint,2
301,no hint,6
302,hint,5
302,no hint,6
303,hint,4
303,no hint,6
304,hint,4
304,no hint,6
305,hint,6
305,no hint,6
306,hint,5
306,no hint,6
307,hint,6
307,no hint,6
308,hint,4
308,no hint,6
309,hint,1
309,no hint,6
310,hint,5
310,no hint,5
311,hint,2
311,no hint,5
312,hint,4
312,no hint,5
313,hint,5
313,no hint,5
314,hint,0
314,no hint,5
315,hint,5
315,no hint,5
316,hint,5
316,no hint,5
317,hint,5
317,no hint,5
318,hint,0
318,no hint,5
319,hint,0
319,no hint,5
320,hint,0
320,no hint,5
321,hint,1
321,no hint,5
322,hint,5
322,no hint,5
323,hint,1
323,no hint,5
324,hint,3
324,no hint,5
325,hint,2
325,no hint,5
326,hint,1
326,no hint,5
327,hint,5
327,no hint,5
328,hint,1
328,no hint,5
329,hint,5
329,no hint,5
330,hint,3
330,no hint,5
331,hint,5
331,no hint,5
