Subject,Feedback,Attempt
1,hint,1
1,no hint,1
2,hint,1
2,no hint,10
3,hint,1
3,no hint,6
4,hint,1
4,no hint,18
5,hint,1
5,no hint,1
6,hint,1
6,no hint,1
7,hint,1
7,no hint,1
8,hint,1
8,no hint,1
9,hint,2
9,no hint,2
10,hint,1
10,no hint,3
11,hint,1
11,no hint,2
12,hint,1
12,no hint,1
13,hint,2
13,no hint,29
14,hint,1
14,no hint,8
15,hint,0
15,no hint,1
16,hint,1
16,no hint,28
17,hint,2
17,no hint,3
18,hint,1
18,no hint,11
19,hint,1
19,no hint,1
20,hint,1
20,no hint,1
21,hint,1
21,no hint,1
22,hint,1
22,no hint,1
23,hint,1
23,no hint,3
24,hint,0
24,no hint,21
25,hint,1
25,no hint,1
26,hint,1
26,no hint,1
27,hint,1
27,no hint,1
28,hint,3
28,no hint,3
29,hint,7
29,no hint,11
30,hint,2
30,no hint,10
31,hint,2
31,no hint,7
32,hint,1
32,no hint,2
33,hint,1
33,no hint,1
34,hint,1
34,no hint,4
35,hint,3
35,no hint,6
36,hint,4
36,no hint,4
37,hint,1
37,no hint,3
38,hint,0
38,no hint,1
39,hint,1
39,no hint,9
40,hint,1
40,no hint,3
41,hint,1
41,no hint,4
42,hint,1
42,no hint,1
43,hint,0
43,no hint,1
44,hint,1
44,no hint,1
45,hint,0
45,no hint,1
46,hint,0
46,no hint,1
47,hint,1
47,no hint,7
48,hint,2
48,no hint,9
49,hint,0
49,no hint,1
50,hint,1
50,no hint,1
51,hint,0
51,no hint,1
52,hint,1
52,no hint,1
53,hint,0
53,no hint,1
54,hint,1
54,no hint,1
55,hint,2
55,no hint,2
56,hint,2
56,no hint,8
57,hint,1
57,no hint,1
58,hint,1
58,no hint,3
59,hint,0
59,no hint,3
60,hint,0
60,no hint,1
61,hint,3
61,no hint,4
62,hint,0
62,no hint,1
63,hint,4
63,no hint,6
64,hint,1
64,no hint,9
65,hint,1
65,no hint,1
66,hint,10
66,no hint,31
67,hint,1
67,no hint,1
68,hint,1
68,no hint,8
69,hint,0
69,no hint,8
70,hint,2
70,no hint,2
71,hint,1
71,no hint,1
72,hint,1
72,no hint,2
73,hint,1
73,no hint,2
74,hint,1
74,no hint,3
75,hint,3
75,no hint,3
76,hint,1
76,no hint,2
77,hint,1
77,no hint,1
78,hint,3
78,no hint,8
79,hint,1
79,no hint,1
80,hint,1
80,no hint,1
81,hint,1
81,no hint,1
82,hint,1
82,no hint,4
83,hint,1
83,no hint,16
84,hint,1
84,no hint,10
85,hint,1
85,no hint,2
86,hint,1
86,no hint,1
87,hint,1
87,no hint,1
88,hint,1
88,no hint,2
89,hint,2
89,no hint,7
90,hint,1
90,no hint,1
91,hint,1
91,no hint,1
92,hint,2
92,no hint,3
93,hint,2
93,no hint,2
94,hint,1
94,no hint,5
95,hint,1
95,no hint,1
96,hint,0
96,no hint,1
97,hint,1
97,no hint,1
98,hint,0
98,no hint,1
99,hint,0
99,no hint,5
100,hint,1
100,no hint,2
101,hint,1
101,no hint,1
102,hint,1
102,no hint,2
103,hint,4
103,no hint,4
104,hint,0
104,no hint,3
105,hint,0
105,no hint,1
106,hint,1
106,no hint,1
107,hint,1
107,no hint,1
108,hint,3
108,no hint,8
109,hint,1
109,no hint,23
110,hint,1
110,no hint,1
111,hint,1
111,no hint,1
112,hint,14
112,no hint,14
113,hint,1
113,no hint,2
114,hint,1
114,no hint,1
115,hint,1
115,no hint,1
116,hint,1
116,no hint,2
117,hint,6
117,no hint,16
118,hint,1
118,no hint,1
119,hint,2
119,no hint,5
120,hint,1
120,no hint,1
121,hint,7
121,no hint,7
122,hint,0
122,no hint,1
123,hint,1
123,no hint,1
124,hint,0
124,no hint,1
125,hint,3
125,no hint,9
126,hint,0
126,no hint,1
127,hint,1
127,no hint,23
128,hint,0
128,no hint,31
129,hint,1
129,no hint,1
130,hint,1
130,no hint,2
131,hint,1
131,no hint,3
132,hint,1
132,no hint,3
133,hint,0
133,no hint,4
134,hint,0
134,no hint,1
135,hint,1
135,no hint,30
136,hint,1
136,no hint,30
137,hint,1
137,no hint,1
138,hint,0
138,no hint,6
139,hint,1
139,no hint,1
140,hint,9
140,no hint,57
141,hint,1
141,no hint,1
