Subject,Feedback,Attempt,problem
1,hint,1,product
1,no hint,1,product
2,hint,3,product
2,no hint,3,product
3,hint,1,product
3,no hint,1,product
4,hint,1,product
4,no hint,2,product
5,hint,1,product
5,no hint,1,product
6,hint,3,product
6,no hint,52,product
7,hint,0,product
7,no hint,1,product
8,hint,3,product
8,no hint,3,product
9,hint,4,product
9,no hint,4,product
10,hint,1,product
10,no hint,1,product
11,hint,4,product
11,no hint,4,product
12,hint,2,product
12,no hint,2,product
13,hint,11,product
13,no hint,11,product
14,hint,0,product
14,no hint,4,product
15,hint,6,product
15,no hint,12,product
16,hint,2,product
16,no hint,6,product
17,hint,2,product
17,no hint,2,product
18,hint,1,product
18,no hint,2,product
19,hint,0,product
19,no hint,4,product
20,hint,1,product
20,no hint,25,product
21,hint,1,product
21,no hint,5,product
22,hint,7,product
22,no hint,7,product
23,hint,1,product
23,no hint,2,product
24,hint,10,product
24,no hint,11,product
25,hint,0,product
25,no hint,53,product
26,hint,1,product
26,no hint,10,product
27,hint,1,product
27,no hint,1,product
28,hint,0,product
28,no hint,1,product
29,hint,1,product
29,no hint,1,product
30,hint,3,product
30,no hint,3,product
31,hint,1,product
31,no hint,1,product
32,hint,1,product
32,no hint,2,product
33,hint,1,product
33,no hint,2,product
34,hint,1,product
34,no hint,1,product
35,hint,2,product
35,no hint,4,product
36,hint,1,product
36,no hint,1,product
37,hint,3,product
37,no hint,3,product
38,hint,2,product
38,no hint,2,product
39,hint,1,product
39,no hint,1,product
40,hint,1,product
40,no hint,1,product
41,hint,1,product
41,no hint,4,product
42,hint,1,product
42,no hint,1,product
43,hint,3,product
43,no hint,3,product
44,hint,2,product
44,no hint,11,product
45,hint,5,product
45,no hint,5,product
46,hint,4,product
46,no hint,5,product
47,hint,1,product
47,no hint,1,product
48,hint,2,product
48,no hint,15,product
49,hint,1,product
49,no hint,1,product
50,hint,1,product
50,no hint,2,product
51,hint,1,product
51,no hint,2,product
52,hint,1,product
52,no hint,4,product
53,hint,1,product
53,no hint,1,product
54,hint,1,product
54,no hint,1,product
55,hint,1,product
55,no hint,1,product
56,hint,2,product
56,no hint,2,product
57,hint,1,product
57,no hint,1,product
58,hint,1,product
58,no hint,3,product
59,hint,0,product
59,no hint,45,product
60,hint,3,product
60,no hint,3,product
61,hint,2,product
61,no hint,2,product
62,hint,1,product
62,no hint,1,product
63,hint,13,product
63,no hint,29,product
64,hint,3,product
64,no hint,15,product
65,hint,3,product
65,no hint,3,product
66,hint,1,product
66,no hint,1,product
67,hint,2,product
67,no hint,17,product
68,hint,2,product
68,no hint,2,product
69,hint,1,product
69,no hint,2,product
70,hint,1,product
70,no hint,1,product
71,hint,2,product
71,no hint,2,product
72,hint,1,product
72,no hint,1,product
73,hint,4,product
73,no hint,4,product
74,hint,0,product
74,no hint,24,product
75,hint,2,product
75,no hint,2,product
76,hint,3,product
76,no hint,3,product
77,hint,9,product
77,no hint,13,product
78,hint,1,product
78,no hint,1,product
79,hint,1,product
79,no hint,2,product
80,hint,1,product
80,no hint,1,product
81,hint,29,product
81,no hint,29,product
82,hint,1,product
82,no hint,1,product
83,hint,1,product
83,no hint,1,product
84,hint,5,product
84,no hint,9,product
85,hint,3,product
85,no hint,12,product
86,hint,1,product
86,no hint,4,product
87,hint,16,product
87,no hint,17,product
88,hint,1,product
88,no hint,1,product
89,hint,1,product
89,no hint,1,product
90,hint,3,product
90,no hint,3,product
91,hint,1,product
91,no hint,2,product
92,hint,0,product
92,no hint,30,product
93,hint,1,product
93,no hint,1,product
94,hint,4,product
94,no hint,4,product
95,hint,8,product
95,no hint,9,product
96,hint,1,product
96,no hint,2,product
97,hint,1,product
97,no hint,1,product
98,hint,1,product
98,no hint,1,product
99,hint,1,product
99,no hint,1,product
100,hint,1,product
100,no hint,2,product
101,hint,0,product
101,no hint,6,product
102,hint,0,product
102,no hint,3,product
103,hint,1,product
103,no hint,1,product
104,hint,1,product
104,no hint,1,product
105,hint,1,product
105,no hint,1,product
106,hint,3,product
106,no hint,6,product
107,hint,1,product
107,no hint,1,product
108,hint,27,product
108,no hint,27,product
109,hint,6,product
109,no hint,6,product
110,hint,2,product
110,no hint,2,product
111,hint,4,product
111,no hint,6,product
112,hint,1,product
112,no hint,4,product
113,hint,5,product
113,no hint,8,product
114,hint,2,product
114,no hint,14,product
115,hint,2,product
115,no hint,2,product
116,hint,4,product
116,no hint,4,product
117,hint,1,product
117,no hint,2,product
118,hint,5,product
118,no hint,5,product
119,hint,1,product
119,no hint,2,product
120,hint,1,product
120,no hint,1,product
121,hint,1,product
121,no hint,10,product
122,hint,2,product
122,no hint,2,product
123,hint,3,product
123,no hint,4,product
124,hint,1,product
124,no hint,1,product
125,hint,0,product
125,no hint,11,product
126,hint,1,product
126,no hint,1,product
127,hint,1,product
127,no hint,5,product
128,hint,3,product
128,no hint,3,product
129,hint,1,product
129,no hint,2,product
130,hint,4,product
130,no hint,4,product
131,hint,4,product
131,no hint,4,product
132,hint,0,product
132,no hint,3,product
133,hint,14,product
133,no hint,15,product
134,hint,1,product
134,no hint,1,product
135,hint,3,product
135,no hint,3,product
136,hint,1,product
136,no hint,1,product
137,hint,2,product
137,no hint,2,product
138,hint,1,product
138,no hint,1,product
139,hint,4,product
139,no hint,5,product
140,hint,6,product
140,no hint,8,product
141,hint,2,product
141,no hint,2,product
142,hint,3,product
142,no hint,3,product
143,hint,1,product
143,no hint,17,product
144,hint,0,product
144,no hint,6,product
145,hint,1,product
145,no hint,1,product
146,hint,9,product
146,no hint,9,product
147,hint,2,product
147,no hint,2,product
148,hint,2,product
148,no hint,3,product
149,hint,1,product
149,no hint,1,product
150,hint,1,product
150,no hint,2,product
151,hint,1,product
151,no hint,2,product
152,hint,3,product
152,no hint,17,product
153,hint,7,product
153,no hint,7,product
154,hint,0,product
154,no hint,2,product
155,hint,0,product
155,no hint,2,product
156,hint,2,product
156,no hint,3,product
157,hint,2,product
157,no hint,2,product
158,hint,2,product
158,no hint,2,product
159,hint,1,product
159,no hint,1,product
160,hint,2,product
160,no hint,6,product
161,hint,1,product
161,no hint,3,product
162,hint,2,product
162,no hint,5,product
163,hint,1,product
163,no hint,1,product
164,hint,2,product
164,no hint,2,product
165,hint,0,product
165,no hint,3,product
166,hint,1,product
166,no hint,7,product
167,hint,8,product
167,no hint,22,product
168,hint,5,product
168,no hint,5,product
169,hint,1,product
169,no hint,1,product
170,hint,4,product
170,no hint,4,product
171,hint,1,product
171,no hint,2,product
172,hint,16,product
172,no hint,16,product
173,hint,34,product
173,no hint,34,product
174,hint,1,product
174,no hint,4,product
175,hint,17,product
175,no hint,17,product
176,hint,2,product
176,no hint,2,product
177,hint,38,product
177,no hint,38,product
178,hint,4,product
178,no hint,4,product
179,hint,5,product
179,no hint,12,product
180,hint,1,product
180,no hint,4,product
181,hint,1,product
181,no hint,1,product
182,hint,0,product
182,no hint,5,product
183,hint,2,product
183,no hint,18,product
184,hint,10,product
184,no hint,10,product
185,hint,19,product
185,no hint,19,product
186,hint,2,product
186,no hint,4,product
187,hint,2,product
187,no hint,2,product
188,hint,2,product
188,no hint,2,product
189,hint,3,product
189,no hint,6,product
190,hint,2,product
190,no hint,3,product
191,hint,6,product
191,no hint,6,product
192,hint,1,product
192,no hint,1,product
193,hint,1,product
193,no hint,1,product
194,hint,5,product
194,no hint,5,product
195,hint,1,product
195,no hint,4,product
196,hint,0,product
196,no hint,1,product
197,hint,1,product
197,no hint,12,product
198,hint,1,product
198,no hint,12,product
199,hint,1,product
199,no hint,1,product
200,hint,1,product
200,no hint,1,product
201,hint,1,product
201,no hint,1,product
202,hint,0,product
202,no hint,1,product
203,hint,6,product
203,no hint,7,product
204,hint,0,product
204,no hint,2,product
205,hint,1,product
205,no hint,2,product
206,hint,2,product
206,no hint,4,product
207,hint,3,product
207,no hint,7,product
208,hint,4,product
208,no hint,4,product
209,hint,2,product
209,no hint,4,product
210,hint,1,product
210,no hint,1,product
211,hint,1,product
211,no hint,2,product
212,hint,1,product
212,no hint,1,product
213,hint,5,product
213,no hint,5,product
214,hint,4,product
214,no hint,6,product
215,hint,1,product
215,no hint,5,product
216,hint,2,product
216,no hint,2,product
217,hint,1,product
217,no hint,1,product
218,hint,4,product
218,no hint,5,product
219,hint,0,product
219,no hint,7,product
220,hint,1,product
220,no hint,1,product
221,hint,25,product
221,no hint,33,product
222,hint,3,product
222,no hint,3,product
223,hint,2,product
223,no hint,3,product
224,hint,6,product
224,no hint,7,product
225,hint,7,product
225,no hint,7,product
226,hint,8,product
226,no hint,24,product
227,hint,1,product
227,no hint,1,product
228,hint,1,product
228,no hint,1,product
229,hint,3,product
229,no hint,4,product
230,hint,2,product
230,no hint,2,product
231,hint,4,product
231,no hint,4,product
232,hint,4,product
232,no hint,12,product
233,hint,4,product
233,no hint,7,product
234,hint,2,product
234,no hint,2,product
235,hint,0,product
235,no hint,5,product
236,hint,2,product
236,no hint,2,product
237,hint,1,product
237,no hint,1,product
238,hint,2,product
238,no hint,2,product
239,hint,2,product
239,no hint,4,product
240,hint,1,product
240,no hint,1,product
241,hint,2,product
241,no hint,3,product
242,hint,1,product
242,no hint,1,product
243,hint,2,product
243,no hint,2,product
244,hint,4,product
244,no hint,4,product
245,hint,0,product
245,no hint,1,product
246,hint,3,product
246,no hint,3,product
247,hint,2,product
247,no hint,2,product
248,hint,2,product
248,no hint,2,product
249,hint,1,product
249,no hint,1,product
250,hint,1,product
250,no hint,2,product
251,hint,2,product
251,no hint,2,product
252,hint,1,product
252,no hint,1,product
253,hint,2,product
253,no hint,2,product
254,hint,2,product
254,no hint,2,product
255,hint,1,product
255,no hint,1,product
256,hint,3,product
256,no hint,4,product
257,hint,2,product
257,no hint,4,product
258,hint,5,product
258,no hint,5,product
259,hint,33,product
259,no hint,33,product
