Subject,Feedback,Attempt,problem
1,hint,6,repeated
1,no hint,11,repeated
2,hint,6,repeated
2,no hint,7,repeated
3,hint,2,repeated
3,no hint,23,repeated
4,hint,1,repeated
4,no hint,1,repeated
5,hint,1,repeated
5,no hint,2,repeated
6,hint,1,repeated
6,no hint,1,repeated
7,hint,4,repeated
7,no hint,4,repeated
8,hint,0,repeated
8,no hint,5,repeated
9,hint,0,repeated
9,no hint,1,repeated
10,hint,12,repeated
10,no hint,15,repeated
11,hint,3,repeated
11,no hint,8,repeated
12,hint,2,repeated
12,no hint,5,repeated
13,hint,2,repeated
13,no hint,3,repeated
14,hint,15,repeated
14,no hint,23,repeated
15,hint,1,repeated
15,no hint,6,repeated
16,hint,8,repeated
16,no hint,8,repeated
17,hint,3,repeated
17,no hint,8,repeated
18,hint,1,repeated
18,no hint,1,repeated
19,hint,2,repeated
19,no hint,2,repeated
20,hint,1,repeated
20,no hint,1,repeated
21,hint,1,repeated
21,no hint,1,repeated
22,hint,4,repeated
22,no hint,6,repeated
23,hint,7,repeated
23,no hint,7,repeated
24,hint,2,repeated
24,no hint,16,repeated
25,hint,1,repeated
25,no hint,1,repeated
26,hint,4,repeated
26,no hint,4,repeated
27,hint,0,repeated
27,no hint,5,repeated
28,hint,4,repeated
28,no hint,12,repeated
29,hint,22,repeated
29,no hint,33,repeated
30,hint,2,repeated
30,no hint,3,repeated
31,hint,15,repeated
31,no hint,16,repeated
32,hint,1,repeated
32,no hint,1,repeated
33,hint,1,repeated
33,no hint,29,repeated
34,hint,6,repeated
34,no hint,6,repeated
35,hint,1,repeated
35,no hint,2,repeated
36,hint,2,repeated
36,no hint,2,repeated
37,hint,1,repeated
37,no hint,5,repeated
38,hint,1,repeated
38,no hint,3,repeated
39,hint,5,repeated
39,no hint,6,repeated
40,hint,2,repeated
40,no hint,3,repeated
41,hint,1,repeated
41,no hint,2,repeated
42,hint,1,repeated
42,no hint,1,repeated
43,hint,5,repeated
43,no hint,12,repeated
44,hint,1,repeated
44,no hint,2,repeated
45,hint,1,repeated
45,no hint,2,repeated
46,hint,1,repeated
46,no hint,1,repeated
47,hint,1,repeated
47,no hint,1,repeated
48,hint,8,repeated
48,no hint,8,repeated
49,hint,2,repeated
49,no hint,5,repeated
50,hint,5,repeated
50,no hint,8,repeated
51,hint,1,repeated
51,no hint,6,repeated
52,hint,5,repeated
52,no hint,18,repeated
53,hint,10,repeated
53,no hint,21,repeated
54,hint,0,repeated
54,no hint,3,repeated
55,hint,1,repeated
55,no hint,1,repeated
56,hint,1,repeated
56,no hint,5,repeated
57,hint,1,repeated
57,no hint,2,repeated
58,hint,5,repeated
58,no hint,7,repeated
59,hint,4,repeated
59,no hint,23,repeated
60,hint,1,repeated
60,no hint,1,repeated
61,hint,4,repeated
61,no hint,10,repeated
62,hint,5,repeated
62,no hint,11,repeated
63,hint,6,repeated
63,no hint,19,repeated
64,hint,2,repeated
64,no hint,3,repeated
65,hint,3,repeated
65,no hint,3,repeated
66,hint,0,repeated
